page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I2821:7978;2531:9885;2531:6499,SKU - Smart TV/Mb_SKU - TV/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2821:7978;2531:9887,SKU - Smart TV/Mb_SKU - TV/Footer Desk/Frame 90/Liên hệ,Liên hệ,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2821:7978;2531:9897,"SKU - Smart TV/Mb_SKU - TV/Footer Desk/Frame 90/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,12.0,#FFFFFF
🔵 UI_Phase 1,I2821:7978;2531:9900,SKU - Smart TV/Mb_SKU - TV/Footer Desk/Frame 2087326390/© Wiivent 2026,© Wiivent 2026,Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2821:7978;2531:10029;2445:2487,SKU - Smart TV/Mb_SKU - TV/Footer Desk/Frame 2087326390/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8031;2445:2808;2445:2775,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2856:8031;2445:2811;2445:2775,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2856:8031;2445:2814;2445:2775,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2856:8031;2531:6542;2531:6497,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8031;3139:11700;3139:11623;107:1496,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Avatar/A,V,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8031;3139:11700;3139:11619,SKU - Smart TV/Tb_SKU - TV/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Title,Ngôn ngữ,Inter,600,14.0,#131927
🔵 UI_Phase 1,I2865:9372;36:1039,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Button/Text/Button,Quay lại,Inter,600,14.0,#4E61F6
🔵 UI_Phase 1,2865:9374,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Leaderboard Banner,Leaderboard Banner,Bai Jamjuree,600,24.0,#3745AF
🔵 UI_Phase 1,2865:9377,"SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Frame 2147224835/Format: JPG, PNJ, GIF, HTML5","Format: JPG, PNJ, GIF, HTML5",Inter,400,14.0,#000000
🔵 UI_Phase 1,2865:9378,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Frame 2147224835/Resolution - Desktop: 970x250,Resolution - Desktop: 970x250 ,Inter,400,14.0,#000000
🔵 UI_Phase 1,2865:9379,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Frame 2147224835/Resolution - Mobile: 970x250,Resolution - Mobile: 970x250 ,Inter,400,14.0,#000000
🔵 UI_Phase 1,2865:9380,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Frame 2147224835/Resolution - TV: 970x250,Resolution - TV: 970x250 ,Inter,400,14.0,#000000
🔵 UI_Phase 1,2865:9381,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Frame 2147224835/Size: <10MB,Size: <10MB,Inter,400,14.0,#000000
🔵 UI_Phase 1,2865:9383,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Pride/Frame 2147224834/Tracking Metrics: Impression/ Click/ View,Tracking Metrics: Impression/ Click/ View,Inter,400,14.0,#000000
🔵 UI_Phase 1,I2865:9384;36:706,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224835/Button/Text/Button,Tư vấn,Inter,600,12.0,#4E61F6
🔵 UI_Phase 1,I2856:8053;2769:6009,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224833/segmented-control/Device Button/Text/Button,Mobile,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2856:8054;2769:6009,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224833/segmented-control/Device Button/Text/Button,PC,Inter,600,16.0,#6D717F
🔵 UI_Phase 1,I2856:8055;2769:5894,SKU - Smart TV/Tb_SKU - TV/Frame 2147224830/Frame 2147224833/segmented-control/Device Button/Text/Button,Smart TV,Inter,600,16.0,#FFFFFF
🔵 UI_Phase 1,I3139:9375;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Leaderboard Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9375;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9376;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,In-Page Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9376;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9377;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Side Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9377;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9378;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Pause Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9378;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9379;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9379;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9380;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome TVC,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9380;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9381;2675:6468;2675:5147,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I3139:9381;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Pre roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9381;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9382;2675:6468;2675:5163,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I3139:9382;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Mid roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9382;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9383;2675:6468;2675:5131,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I3139:9383;2675:6179,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Post Roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9383;2675:6180,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,2933:10340,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Search/ĐỊNH DẠNG QUẢNG CÁO,ĐỊNH DẠNG QUẢNG CÁO,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2933:10343;2675:4701,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Bộ lọc,Bộ lọc,Inter,600,14.0,#FFFFFF
🔵 UI_Phase 1,I2933:10343;2675:4705,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10344;94:2148,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Thiết bị,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10344;2675:4615,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10345;94:2148,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Định dạng,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10345;2675:4615,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10346;94:2148,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Loại,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10346;2675:4615,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2933:10347;2633:5656,SKU - Smart TV/Tb_SKU - TV/Section 3/Frame 2147224797/Frame 2147224795/Component 11/Tìm kiếm,Tìm kiếm,Bai Jamjuree,600,10.0,#3745AF
🔵 UI_Phase 1,I2856:8077;2531:9850,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326388/Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:9855;2445:2775,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:9856;2445:2775,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:9857;2445:2775,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:9858;2531:6497,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2675:12645,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 93/Liên hệ,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2675:12655,"SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 2087326389/Frame 93/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:9873,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 1527/© Wiinvent 2026,© Wiinvent 2026,Manrope,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2856:8077;2531:10025;2445:2487,SKU - Smart TV/Tb_SKU - TV/Footer Desk/Frame 1527/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2694;2445:2787;2445:2775,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2633:2694;2445:2794;2445:2775,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2633:2694;2445:2801;2445:2775,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2633:2694;2531:6521;2531:6497,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2694;3139:11474;3139:11623;107:1496,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Avatar/A,V,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2694;3139:11474;3139:11619,SKU Product (Demo)/Desk_SKU/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Title,Ngôn ngữ,Inter,600,14.0,#131927
🔵 UI_Phase 1,2675:5050,SKU Product (Demo)/Desk_SKU/Frame 2147224830/Frame 2147224826/Leaderboard Banner,Leaderboard Banner,Bai Jamjuree,600,40.0,#FFFFFF
🔵 UI_Phase 1,2675:5051,SKU Product (Demo)/Desk_SKU/Frame 2147224830/Frame 2147224826/Frame 2147224831/Banner Standard,Banner Standard,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,2675:5053,SKU Product (Demo)/Desk_SKU/Frame 2147224830/Frame 2147224826/Frame 2147224831/Frame 2147224825/Available on:,Available on:,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,I2865:11867;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Leaderboard Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11867;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11868;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,In-Page Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11868;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11869;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Side Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11869;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11870;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Pause Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11870;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11871;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11871;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11872;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome TVC,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11872;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11874;2675:6468;2675:5147,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I2865:11874;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Pre roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11874;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11875;2675:6468;2675:5163,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I2865:11875;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Mid roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11875;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I2865:11873;2675:6468;2675:5131,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format/Frame 2147224762/Frame 2147224812/Frame 2147224765/Skip,Skip,Inter,500,6.0,#8ACEFF
🔵 UI_Phase 1,I2865:11873;2675:6179,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Post Roll Instream,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I2865:11873;2675:6180,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Instream Video,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,2865:11878,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Search/ĐỊNH DẠNG QUẢNG CÁO,ĐỊNH DẠNG QUẢNG CÁO,Bai Jamjuree,600,28.0,#3745AF
🔵 UI_Phase 1,I2865:11881;2675:4701,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Bộ lọc,Bộ lọc,Inter,600,14.0,#FFFFFF
🔵 UI_Phase 1,I2865:11881;2675:4705,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11882;94:2148,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Thiết bị,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11882;2675:4615,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11883;94:2148,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Định dạng,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11883;2675:4615,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11884;94:2148,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/Text/Badge,Loại,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11884;2675:4615,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/cancel/Text/1,1,Inter,600,14.0,#0095FF
🔵 UI_Phase 1,I2865:11885;2633:5656,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Component 11/Tìm kiếm,Tìm kiếm,Bai Jamjuree,600,10.0,#3745AF
🔵 UI_Phase 1,I2633:2751;2531:9822,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 2087326388/Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9826;2445:2775,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9827;2445:2775,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9828;2445:2775,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9829;2531:6497,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9831,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 90/Liên hệ,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:9841,"SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 90/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:10058,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 1527/© Wiinvent 2026,© Wiinvent 2026,Manrope,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2633:2751;2531:10059;2445:2487,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 1527/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,2811:6786,SKU Product (Demo)/Mb_SKU/Frame 2147224830/Frame 2147224826/Leaderboard Banner,Leaderboard Banner,Bai Jamjuree,600,40.0,#FFFFFF
🔵 UI_Phase 1,2811:6788,SKU Product (Demo)/Mb_SKU/Frame 2147224830/Frame 2147224826/Frame 2147224831/Banner Standard,Banner Standard,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,2811:6790,SKU Product (Demo)/Mb_SKU/Frame 2147224830/Frame 2147224826/Frame 2147224831/Frame 2147224825/Available on:,Available on:,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,I3139:9525;2675:6179,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Leaderboard Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9525;2675:6180,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9526;2675:6179,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,In-Page Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9526;2675:6180,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9527;2675:6179,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Side Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9527;2675:6180,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9528;2675:6179,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Pause Banner,Inter,600,18.0,#3745AF
🔵 UI_Phase 1,I3139:9528;2675:6180,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Banner Standard,Inter,600,14.0,#6D717F
🔵 UI_Phase 1,I3139:9529;2675:6179,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Frame 2147224799/Sample title,Welcome Banner,Inter,600,18.0,#3745AF
