page,node_id,node_name,path,trigger,action,destination_id,navigation,transition_type,duration_ms,easing,direction,variable_id,variable_expr
🔵 UI_Phase 1,I2865:11874;2675:6468,Format,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6428,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11875,Card SKU,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11875,Card SKU,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2865:11875;2675:6468,Format,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6444,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2865:11875;2675:6468,Format,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6444,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11873,Card SKU,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11873,Card SKU,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2865:11873;2675:6468,Format,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6412,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2865:11873;2675:6468,Format,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6412,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11882,Badge & Chip,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip,(legacy),NAVIGATE,2675:7812,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11882,Badge & Chip,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip,ON_CLICK,NODE,2675:7812,NAVIGATE,,,,,,
🔵 UI_Phase 1,I2865:11882;2675:6832,nav-arrow,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Frame 2147224798/Badge & Chip/nav-arrow,ON_CLICK,NODE,,CHANGE_TO,,,,,,
🔵 UI_Phase 1,2865:11885,Component 11,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Component 11,(legacy),NAVIGATE,2633:5704,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2865:11885,Component 11,SKU Product (Demo)/Desk_SKU/Section 4/Frame 2147224797/Frame 2147224795/Component 11,ON_HOVER,NODE,2633:5704,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9826,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9826,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9827,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9827,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9828,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9828,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9829,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:9829,Button of Nav Heading,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2633:2751;2531:10059,Back Button,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 1527/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2633:2751;2531:10059,Back Button,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 1527/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2633:2751;2531:10059,Back Button,SKU Product (Demo)/Desk_SKU/Footer Desk/Frame 1527/Back Button,ON_CLICK,NODE,2633:2694,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9525,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9525,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9525,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_CLICK,NODE,2856:8352,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9525;2675:6468,Component 12,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Component 12,(legacy),NAVIGATE,2675:6348,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9525;2675:6468,Component 12,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Component 12,ON_HOVER,NODE,2675:6348,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9526,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9526,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9526;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6355,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9526;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6355,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9527,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9527,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9527;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6366,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9527;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6366,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9528,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9528,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9528;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6380,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9528;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6380,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9529,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9529,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9529;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6390,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9529;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6390,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9530,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9530,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9530;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6400,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9530;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6400,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9531,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9531,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9531;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6428,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9531;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6428,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9532,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9532,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9532;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6444,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9532;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6444,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9533,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:9533,Card SKU,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9533;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,(legacy),NAVIGATE,2675:6412,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:9533;2675:6468,Format,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224798/Card SKU/Format,ON_HOVER,NODE,2675:6412,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2811:6829,Component 11,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224797/Component 11,(legacy),NAVIGATE,2633:5704,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2811:6829,Component 11,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224797/Component 11,ON_HOVER,NODE,2633:5704,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2811:7217,Badge & Chip,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224797/Frame 2147224798/Badge & Chip,(legacy),NAVIGATE,2675:7812,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2811:7217,Badge & Chip,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224797/Frame 2147224798/Badge & Chip,ON_CLICK,NODE,2675:7812,NAVIGATE,,,,,,
🔵 UI_Phase 1,I2811:7217;2675:6832,nav-arrow,SKU Product (Demo)/Mb_SKU/Section 3/Frame 2147224797/Frame 2147224798/Badge & Chip/nav-arrow,ON_CLICK,NODE,,CHANGE_TO,,,,,,
🔵 UI_Phase 1,I2811:6830;2531:9882,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9882,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9883,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9883,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9884,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9884,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9885,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6500,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:9885,Button of Nav Heading,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading,ON_CLICK,NODE,2531:6500,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2811:6830;2531:10029,Back Button,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 2087326390/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2811:6830;2531:10029,Back Button,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 2087326390/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2811:6830;2531:10029,Back Button,SKU Product (Demo)/Mb_SKU/Footer Desk/Frame 2087326390/Back Button,ON_CLICK,NODE,2811:6783,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2787,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2787,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2794,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2794,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2801,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2445:2801,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2531:6521,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:7813;2531:6521,Button of Nav Heading,SKU Product (Demo)/SKU - Dropdown/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8475,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8475,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8475,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_CLICK,NODE,2856:8352,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8475;2675:6468,Component 12,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Component 12,(legacy),NAVIGATE,2675:6348,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8475;2675:6468,Component 12,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Component 12,ON_HOVER,NODE,2675:6348,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8476,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8476,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8476;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6355,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8476;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6355,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8477,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8477,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8477;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6366,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8477;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6366,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8478,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8478,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8478;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6380,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8478;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6380,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8479,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8479,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8479;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6390,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8479;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6390,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8480,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8480,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8480;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6400,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8480;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6400,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8481,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8481,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8481;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6428,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8481;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,ON_HOVER,NODE,2675:6428,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8482,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,(legacy),NAVIGATE,2675:6204,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:8482,Card SKU,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU,ON_HOVER,NODE,2675:6204,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I3139:8482;2675:6468,Format,SKU Product (Demo)/SKU - Dropdown/Section 3/Frame 2147224799/Card SKU/Format,(legacy),NAVIGATE,2675:6444,,,300.0,EASE_OUT,,,
